"n","uuid","title","error","contact","error_level"
71,"c4702d92-80b3-11ee-b962-0242ac120071","EPIcx-lab/COVID-19/attitude","missing thumbnail","INSERM","warning"
72,"c4702d92-80b3-11ee-b962-0242ac120072","EPIcx-lab/COVID-19/curfew_B.1.1.7","missing thumbnail","INSERM","warning"
73,"c4702d92-80b3-11ee-b962-0242ac120073","EPIcx-lab/COVID-19/Impact_school_reopening/","missing thumbnail","INSERM","warning"
74,"c4702d92-80b3-11ee-b962-0242ac120074","EPIcx-lab/COVID-19/importation_risk_Africa","missing thumbnail","INSERM","warning"
75,"c4702d92-80b3-11ee-b962-0242ac120075","EPIcx-lab/COVID-19/importation_lockdown","missing thumbnail","INSERM","warning"
76,"c4702d92-80b3-11ee-b962-0242ac120076","EPIcx-lab/COVID-19/importation_risk_Europe","missing thumbnail","INSERM","warning"
77,"c4702d92-80b3-11ee-b962-0242ac120077","EPIcx-lab/COVID-19/importation_risk_summer_Delta","missing thumbnail","INSERM","warning"
78,"c4702d92-80b3-11ee-b962-0242ac120078","EPIcx-lab/COVID-19/mobility_effect","missing thumbnail","INSERM","warning"
79,"c4702d92-80b3-11ee-b962-0242ac120079","EPIcx-lab/COVID-19/socio_economic","missing thumbnail","INSERM","warning"
80,"c4702d92-80b3-11ee-b962-0242ac120080","EPIcx-lab/COVID-19/Underdetection_France/","missing thumbnail","INSERM","warning"
81,"c4702d92-80b3-11ee-b962-0242ac120081","ERA5-Land, Air Temperature (2m)","already harvested","mundialis","error"
81,"c4702d92-80b3-11ee-b962-0242ac120081","ERA5-Land, Air Temperature (2m)","missing thumbnail","mundialis","warning"
82,"c4702d92-80b3-11ee-b962-0242ac120082","ERA5-Land, Air Temperature (2m)","already harvested","mundialis","error"
82,"c4702d92-80b3-11ee-b962-0242ac120082","ERA5-Land, Air Temperature (2m)","missing thumbnail","mundialis","warning"
83,"c4702d92-80b3-11ee-b962-0242ac120083","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
83,"c4702d92-80b3-11ee-b962-0242ac120083","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
84,"c4702d92-80b3-11ee-b962-0242ac120084","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
84,"c4702d92-80b3-11ee-b962-0242ac120084","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
85,"c4702d92-80b3-11ee-b962-0242ac120085","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
85,"c4702d92-80b3-11ee-b962-0242ac120085","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
86,"c4702d92-80b3-11ee-b962-0242ac120086","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
86,"c4702d92-80b3-11ee-b962-0242ac120086","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
87,"c4702d92-80b3-11ee-b962-0242ac120087","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
87,"c4702d92-80b3-11ee-b962-0242ac120087","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
88,"c4702d92-80b3-11ee-b962-0242ac120088","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
88,"c4702d92-80b3-11ee-b962-0242ac120088","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
89,"c4702d92-80b3-11ee-b962-0242ac120089","ERA5-Land, Surface Temperature","already harvested","mundialis","error"
89,"c4702d92-80b3-11ee-b962-0242ac120089","ERA5-Land, Surface Temperature","missing thumbnail","mundialis","warning"
90,"c4702d92-80b3-11ee-b962-0242ac120090","ERA5-Land, Surface Temperature","already harvested","mundialis","error"
90,"c4702d92-80b3-11ee-b962-0242ac120090","ERA5-Land, Surface Temperature","missing thumbnail","mundialis","warning"
91,"c4702d92-80b3-11ee-b962-0242ac120091","ERA5-Land, Total Precipitation","already harvested","mundialis","error"
91,"c4702d92-80b3-11ee-b962-0242ac120091","ERA5-Land, Total Precipitation","missing thumbnail","mundialis","warning"
92,"c4702d92-80b3-11ee-b962-0242ac120092","ERA5-Land, Total Precipitation","already harvested","mundialis","error"
92,"c4702d92-80b3-11ee-b962-0242ac120092","ERA5-Land, Total Precipitation","missing thumbnail","mundialis","warning"
95,"c4702d92-80b3-11ee-b962-0242ac120095","files and scripts related to our study entitled ""Phylogeographic and phylodynamic approaches to epidemiological hypothesis testing""","missing thumbnail","ULB","warning"
96,"c4702d92-80b3-11ee-b962-0242ac120096","Global Daylength Map","already harvested","mundialis","error"
96,"c4702d92-80b3-11ee-b962-0242ac120096","Global Daylength Map","missing thumbnail","mundialis","warning"
98,"c4702d92-80b3-11ee-b962-0242ac120098","Keywords for PADI-web implemented in Ocean Indian","missing thumbnail","CIRAD","warning"
99,"c4702d92-80b3-11ee-b962-0242ac120099","Labeled Entities from Social Media Data Related to Avian Influenza Disease","missing thumbnail","CIRAD","warning"
101,"c4702d92-80b3-11ee-b962-0242ac120101","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
101,"c4702d92-80b3-11ee-b962-0242ac120101","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
102,"c4702d92-80b3-11ee-b962-0242ac120102","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
102,"c4702d92-80b3-11ee-b962-0242ac120102","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
103,"c4702d92-80b3-11ee-b962-0242ac120103","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
103,"c4702d92-80b3-11ee-b962-0242ac120103","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
104,"c4702d92-80b3-11ee-b962-0242ac120104","MODIS v6.0 MNDWI","already harvested","mundialis","error"
104,"c4702d92-80b3-11ee-b962-0242ac120104","MODIS v6.0 MNDWI","missing thumbnail","mundialis","warning"
105,"c4702d92-80b3-11ee-b962-0242ac120105","MODIS v6.0 NDVI/EVI","already harvested","mundialis","error"
105,"c4702d92-80b3-11ee-b962-0242ac120105","MODIS v6.0 NDVI/EVI","missing thumbnail","mundialis","warning"
107,"c4702d92-80b3-11ee-b962-0242ac120107","MOOD - News AMR dataset - Hackathon 2022","missing thumbnail","INRAE & CIRAD","warning"
108,"c4702d92-80b3-11ee-b962-0242ac120108","MOOD Maps of Google community mobility change during the COVID-19 outbreak","missing thumbnail","ERGO","warning"
109,"c4702d92-80b3-11ee-b962-0242ac120109","MOOD Maps of Google community mobility change during the COVID-19 outbreak","missing thumbnail","ERGO
","warning"
110,"c4702d92-80b3-11ee-b962-0242ac120110","new_york_variants","missing thumbnail","ULB/KU Leuven","warning"
111,"c4702d92-80b3-11ee-b962-0242ac120111","Novel-SARS-CoV-2-P1-Lineage-in-Brazi","missing thumbnail","SOTON","warning"
115,"c4702d92-80b3-11ee-b962-0242ac120115","PhyCovA","missing thumbnail","ULB/KU Leuven","warning"
117,"c4702d92-80b3-11ee-b962-0242ac120117","sars_cov_2_pipeline","missing thumbnail","ULB/KU Leuven","warning"
118,"c4702d92-80b3-11ee-b962-0242ac120118","SARS-CoV-2_EUR_PHYLOGEOGRAPHY","missing thumbnail","ULB/KU Leuven","warning"
120,"c4702d92-80b3-11ee-b962-0242ac120120","Supplementary Video 1 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing thumbnail","INSERM","warning"
121,"c4702d92-80b3-11ee-b962-0242ac120121","Supplementary Video 2 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing thumbnail","INSERM","warning"
122,"c4702d92-80b3-11ee-b962-0242ac120122","","missing abstract","SOTON","error"
122,"c4702d92-80b3-11ee-b962-0242ac120122","","missing thumbnail","SOTON","warning"
125,"c4702d92-80b3-11ee-b962-0242ac120125","COVID-19 Tweet dataset","missing thumbnail","CIRAD","warning"
128,"c4702d92-80b3-11ee-b962-0242ac120128","Polygons dataset for Relative spatial information","missing thumbnail","CIRAD","warning"
129,"c4702d92-80b3-11ee-b962-0242ac120129","EpidBioBERT","missing thumbnail","Strathmore University (Kenya) and CIRAD","warning"
130,"c4702d92-80b3-11ee-b962-0242ac120130","EpidBioELECTRA","missing thumbnail","Strathmore University (Kenya) and CIRAD","warning"
131,"c4702d92-80b3-11ee-b962-0242ac120131","SNEToolkit","missing thumbnail","INRAE and CIRAD","warning"
132,"c4702d92-80b3-11ee-b962-0242ac120132","Linking disease data from different sources","missing thumbnail","INRAE and CIRAD","warning"
133,"c4702d92-80b3-11ee-b962-0242ac120133","Spatial Opinion Mining of COVID-19 Tweets","missing thumbnail","CIRAD","warning"
134,"c4702d92-80b3-11ee-b962-0242ac120134","data quality:classification of news articles","missing thumbnail","CIRAD","warning"
