"n","uuid","title","error","contact","error_level"
25,"c4702d92-80b3-11ee-b962-0242ac120025","Avian Influenza events from differents digital surveillance tools","missing thumbnail","INRAE & CIRAD","warning"
26,"c4702d92-80b3-11ee-b962-0242ac120026","PADI-web corpus used for the EpidBioELECTRA approach","missing thumbnail","CIRAD","warning"
27,"c4702d92-80b3-11ee-b962-0242ac120027","Annotation of epidemiological information in animal disease-related news articles: guidelines and manually labelled corpus","missing thumbnail","CIRAD","warning"
28,"c4702d92-80b3-11ee-b962-0242ac120028","Keywords for PADI-web implemented in Ocean Indian","missing thumbnail","CIRAD","warning"
29,"c4702d92-80b3-11ee-b962-0242ac120029","An annotated Avian Influenza dataset from two event-based surveillance systems","missing thumbnail","INRAE & CIRAD","warning"
30,"c4702d92-80b3-11ee-b962-0242ac120030","Annotated datasets from PADI-web for event-based surveillance of Avian Influenza, African Swine Fever, and West-Nile Virus Disease","missing thumbnail","INRAE & CIRAD","warning"
31,"c4702d92-80b3-11ee-b962-0242ac120031","ERA5-Land, Air Temperature (2m)","already harvested","mundialis","error"
31,"c4702d92-80b3-11ee-b962-0242ac120031","ERA5-Land, Air Temperature (2m)","missing thumbnail","mundialis","warning"
32,"c4702d92-80b3-11ee-b962-0242ac120032","ERA5-Land, Air Temperature (2m)","already harvested","mundialis","error"
32,"c4702d92-80b3-11ee-b962-0242ac120032","ERA5-Land, Air Temperature (2m)","missing thumbnail","mundialis","warning"
33,"c4702d92-80b3-11ee-b962-0242ac120033","ERA5-Land, Surface Temperature","already harvested","mundialis","error"
33,"c4702d92-80b3-11ee-b962-0242ac120033","ERA5-Land, Surface Temperature","missing thumbnail","mundialis","warning"
34,"c4702d92-80b3-11ee-b962-0242ac120034","ERA5-Land, Surface Temperature","already harvested","mundialis","error"
34,"c4702d92-80b3-11ee-b962-0242ac120034","ERA5-Land, Surface Temperature","missing thumbnail","mundialis","warning"
35,"c4702d92-80b3-11ee-b962-0242ac120035","ERA5-Land, Total Precipitation","already harvested","mundialis","error"
35,"c4702d92-80b3-11ee-b962-0242ac120035","ERA5-Land, Total Precipitation","missing thumbnail","mundialis","warning"
36,"c4702d92-80b3-11ee-b962-0242ac120036","ERA5-Land, Total Precipitation","already harvested","mundialis","error"
36,"c4702d92-80b3-11ee-b962-0242ac120036","ERA5-Land, Total Precipitation","missing thumbnail","mundialis","warning"
37,"c4702d92-80b3-11ee-b962-0242ac120037","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
37,"c4702d92-80b3-11ee-b962-0242ac120037","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
38,"c4702d92-80b3-11ee-b962-0242ac120038","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
38,"c4702d92-80b3-11ee-b962-0242ac120038","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
39,"c4702d92-80b3-11ee-b962-0242ac120039","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
39,"c4702d92-80b3-11ee-b962-0242ac120039","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
40,"c4702d92-80b3-11ee-b962-0242ac120040","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
40,"c4702d92-80b3-11ee-b962-0242ac120040","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
41,"c4702d92-80b3-11ee-b962-0242ac120041","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
41,"c4702d92-80b3-11ee-b962-0242ac120041","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
42,"c4702d92-80b3-11ee-b962-0242ac120042","ERA5-Land, Relative Humidity","already harvested","mundialis","error"
42,"c4702d92-80b3-11ee-b962-0242ac120042","ERA5-Land, Relative Humidity","missing thumbnail","mundialis","warning"
43,"c4702d92-80b3-11ee-b962-0242ac120043","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
43,"c4702d92-80b3-11ee-b962-0242ac120043","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
44,"c4702d92-80b3-11ee-b962-0242ac120044","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
44,"c4702d92-80b3-11ee-b962-0242ac120044","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
45,"c4702d92-80b3-11ee-b962-0242ac120045","MODIS v6.0 Land Surface Temperature (LST)","already harvested","mundialis","error"
45,"c4702d92-80b3-11ee-b962-0242ac120045","MODIS v6.0 Land Surface Temperature (LST)","missing thumbnail","mundialis","warning"
46,"c4702d92-80b3-11ee-b962-0242ac120046","MODIS v6.0 NDVI/EVI","already harvested","mundialis","error"
46,"c4702d92-80b3-11ee-b962-0242ac120046","MODIS v6.0 NDVI/EVI","missing thumbnail","mundialis","warning"
47,"c4702d92-80b3-11ee-b962-0242ac120047","MODIS v6.0 MNDWI","already harvested","mundialis","error"
47,"c4702d92-80b3-11ee-b962-0242ac120047","MODIS v6.0 MNDWI","missing thumbnail","mundialis","warning"
48,"c4702d92-80b3-11ee-b962-0242ac120048","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
48,"c4702d92-80b3-11ee-b962-0242ac120048","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
49,"c4702d92-80b3-11ee-b962-0242ac120049","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
49,"c4702d92-80b3-11ee-b962-0242ac120049","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
50,"c4702d92-80b3-11ee-b962-0242ac120050","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
50,"c4702d92-80b3-11ee-b962-0242ac120050","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
51,"c4702d92-80b3-11ee-b962-0242ac120051","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
51,"c4702d92-80b3-11ee-b962-0242ac120051","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
52,"c4702d92-80b3-11ee-b962-0242ac120052","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
52,"c4702d92-80b3-11ee-b962-0242ac120052","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
53,"c4702d92-80b3-11ee-b962-0242ac120053","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
53,"c4702d92-80b3-11ee-b962-0242ac120053","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
54,"c4702d92-80b3-11ee-b962-0242ac120054","Global Daylength Map","already harvested","mundialis","error"
54,"c4702d92-80b3-11ee-b962-0242ac120054","Global Daylength Map","missing thumbnail","mundialis","warning"
77,"c4702d92-80b3-11ee-b962-0242ac120077","2020_2022_VIIRS_CumTemp_IxodesRicinus","missing abstract","ERGO
","error"
99,"c4702d92-80b3-11ee-b962-0242ac120099","","missing abstract","","error"
99,"c4702d92-80b3-11ee-b962-0242ac120099","","missing thumbnail","","warning"
100,"c4702d92-80b3-11ee-b962-0242ac120100","","missing abstract","","error"
100,"c4702d92-80b3-11ee-b962-0242ac120100","","missing thumbnail","","warning"
101,"c4702d92-80b3-11ee-b962-0242ac120101","","missing abstract","","error"
101,"c4702d92-80b3-11ee-b962-0242ac120101","","missing thumbnail","","warning"
103,"c4702d92-80b3-11ee-b962-0242ac120103","Avian Influenza events affecting mammals from ProMED","missing thumbnail","LIRMM","warning"
104,"c4702d92-80b3-11ee-b962-0242ac120104","Avian Influenza events affecting mammals from ProMED","missing thumbnail","INRAE","warning"
105,"c4702d92-80b3-11ee-b962-0242ac120105","Avian Influenza events affecting mammals from ProMED","missing thumbnail","CIRAD","warning"
107,"c4702d92-80b3-11ee-b962-0242ac120107","COVID-19 Open Research Dataset","missing abstract","","error"
107,"c4702d92-80b3-11ee-b962-0242ac120107","COVID-19 Open Research Dataset","missing thumbnail","","warning"
108,"c4702d92-80b3-11ee-b962-0242ac120108","","missing abstract","","error"
108,"c4702d92-80b3-11ee-b962-0242ac120108","","missing thumbnail","","warning"
109,"c4702d92-80b3-11ee-b962-0242ac120109","EPIcx-lab/COVID-19/importation_risk_Europe","missing thumbnail","INSERM","warning"
110,"c4702d92-80b3-11ee-b962-0242ac120110","EPIcx-lab/COVID-19/importation_risk_Africa","missing thumbnail","INSERM","warning"
111,"c4702d92-80b3-11ee-b962-0242ac120111","EPIcx-lab/COVID-19/importation_risk_Africa","missing thumbnail","INSERM","warning"
112,"c4702d92-80b3-11ee-b962-0242ac120112","EPIcx-lab/COVID-19/mobility_effect","missing thumbnail","INSERM","warning"
113,"c4702d92-80b3-11ee-b962-0242ac120113","EPIcx-lab/COVID-19/importation_risk_summer_Delta","missing thumbnail","INSERM","warning"
114,"c4702d92-80b3-11ee-b962-0242ac120114","EPIcx-lab/COVID-19/socio_economic","missing thumbnail","INSERM","warning"
115,"c4702d92-80b3-11ee-b962-0242ac120115","EPIcx-lab/COVID-19/curfew_B.1.1.7","missing thumbnail","INSERM","warning"
116,"c4702d92-80b3-11ee-b962-0242ac120116","COVID-19/contact_tracing","missing thumbnail","INSERM","warning"
117,"c4702d92-80b3-11ee-b962-0242ac120117","EPIcx-bal/COVID-19/schools","missing thumbnail","INSERM","warning"
118,"c4702d92-80b3-11ee-b962-0242ac120118","COVID-19/vaccination","missing thumbnail","INSERM","warning"
119,"c4702d92-80b3-11ee-b962-0242ac120119","EPIcx-lab/COVID-19/attitude","missing thumbnail","INSERM","warning"
120,"c4702d92-80b3-11ee-b962-0242ac120120","COVID-19_influenza","missing thumbnail","INSERM","warning"
121,"c4702d92-80b3-11ee-b962-0242ac120121","sars_cov_2_pipeline","missing thumbnail","ULB/KU Leuven","warning"
122,"c4702d92-80b3-11ee-b962-0242ac120122","SARS-CoV-2_EUR_PHYLOGEOGRAPHY","missing thumbnail","ULB/KU Leuven","warning"
123,"c4702d92-80b3-11ee-b962-0242ac120123","covid19_spell","missing thumbnail","ULB/KU Leuven","warning"
124,"c4702d92-80b3-11ee-b962-0242ac120124","PhyCovA","missing thumbnail","ULB/KU Leuven","warning"
125,"c4702d92-80b3-11ee-b962-0242ac120125","new_york_variants","missing thumbnail","ULB/KU Leuven","warning"
