EC portal,Title/Identifier (if no DOI available),Description of the dataset/Abstract,Database Key words,Producer,Full name of corresponding author (with email contact),Year,Accessible y/n,Give the DOI (or URL) to access the dataset in the data repository,"Is this dataset reusable?
Yes/No","If the dataset is linked to a publication, specify the DOI of the publication",Licence,Code available (link),Link (html) to an image/logo/figure representing the database,geographical extent,No,Usefull for which diseases ,Concept ID (NCBI) ,Dataset or Software,Dataset type,Dashboard,Data produced by MOOD (Prod.) or only used (Used) within the project,Accessibility (Public or MPo -MOOD partners only),uuid,n
NO,Data quality: Classification of news articles,Avian Influenza relevant articles and irrelevant articles classification,"NLP, text-mining",CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2023,Github,,,,,https://github.com/mehtab-alam/data_quality/tree/master,https://cdn.cms-twdigitalassets.com/content/dam/about-twitter/x/brand-toolkit/logo-black.png.twimg.2560.png,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120134,134
NO,GeospaCy,Relative spatial information extraction and its geographical referencing,"NLP, text-mining",CIRAD,Mehtab Alam SYED (mehtab-alam.syed@cirad.fr),2023,Github,,,,,https://github.com/mehtab-alam/GeospaCy,https://www.tandfonline.com/cms/asset/e0162320-3e8c-48d0-a81b-a8e48d943828/tcag_a_2264753_f0003_c.jpg,,,,,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120135,135
NO,arbocartoR app,Modeling the risk of emergence of aedes-borne diseases - Shiny interface,"simulation, aedes, arboviroses",Cirad,Hammami Pachka (pachka.hammami@cirad;fr),2023,Github,,YES,,GNU General Public License,https://forgemia.inra.fr/sk8/sk8-apps/sa/astre/arbocarto-r-app https://arbocarto-r-app.sk8.inrae.fr/,https://collaboratif.cirad.fr/share/proxy/alfresco-noauth/api/internal/shared/node/dAlwJZfsRn6IYbW7iAhNtQ/content/thumbnails/imgpreview?c=force&lastModified=imgpreview%3A1696497093303,,,"Dengue, Chikungunya, Zika",,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120139,139
NO,arbocartoR package,Modeling the risk of emergence of aedes-borne diseases - R package,"simulation, aedes, arboviroses",Cirad,Hammami Pachka (pachka.hammami@cirad;fr),2023,Github,,YES,,Creative Commons Attribution 4.0 International Public License,https://forgemia.inra.fr/umr-astre/arbocartoR,https://collaboratif.cirad.fr/share/proxy/alfresco-noauth/api/internal/shared/node/dAlwJZfsRn6IYbW7iAhNtQ/content/thumbnails/imgpreview?c=force&lastModified=imgpreview%3A1696497093303,,,"Dengue, Chikungunya, Zika",,Software,,,,Public,c4702d92-80b3-11ee-b962-0242ac120140,140
YES,Risk factors for tick attachment in companion animals in Great Britain: a spatiotemporal analysis covering 2014–2021,"Covariates for the UK, code of the model","ticks, companion animals, pets",CIRAD/ OGH,Elena Arsevska,2014-2021,Yes,https://doi.org/10.5281/zenodo.7625174,YES,https://doi.org/10.1186/s13071-023-06094-4,,,,UK,,"Tick borne diseases, ticks",,Dataset,Covariate,,Used,Public,c4702d92-80b3-11ee-b962-0242ac120145,145
YES,MOOD Maps of Google community mobility change during the COVID-19 outbreak,"The MOOD project (MOnitoring Outbreak events for Disease surveillance in a data science context. H2020) has geo-referenced the data Google has published as a series of PDF files presenting reports on national and subnational human mobility levels relative to a baseline data of late January 2020. The data and the PDF files  were originally posted  at https://www.google.com/covid19/mobility/.

Abstract: The original Google data has been processed so that the data for each period is mappable using global standardised shapefiles  for  Europe and its neighbours.  The daily values from the original datasets have been converted to 3 day moving avergages  and  were produced twice a week from early Febrary 2020 until October 2022.  The data are exressed as a percentage of a baseline value defined  as the value caluculated in January 2020.  The data are available for a number of location categories:  Workplaces,  residence, parks and natural areas,  retail and recreation, gricery and pharmacy and transit stations.  ","Google, human mobility, Covid19",ERGO,William Wint (william.wint@gmail.com),2020-2022,Figshare,https://doi.org/10.6084/m9.figshare.12130980.v155,YES,"Unknown but the data have beed downlaoded 94000 times,  so probably","CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,Not on the publication page,,,COVID-19,C5203670,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120108,109
NO,1990_2015_GrossDomesticProduct,"GDP 2015 (purchasing power parity, full description in document kummuetal2018sdata20184.pdf. 

Abstract: a gridded data set of Gross domestic product (purchasing power parity) produced by Kummu, M. et al. Gridded global datasets for Gross Domestic Product and Human Development Index over 1990–2015. Sci. Data 5:180004 doi: 10.1038/sdata.2018.4 (2018) has been extracted for the MOOD extent","GDP, Gridded","ERGO
","William Wint (william.wint@gmail.com)
",1990-2015,Yes,https://tinyurl.com/GDP9015,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/ergdp.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120001,1
NO,2001_2019_MODIS_Channel3_MiddleInfraRed_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global MODIS data for Middle Infra Red (MIR) derived from the MOD11A2 Product from USGS. The imagery summarises a key environmental indicator, incorporating seasonal dynamics, for the MOOD study area. MODIS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The MOD11A2 product contains an 8-day average of MIR at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: the Index values were extracted from MOD13A2 files for the years 2001 through to 2019, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The MO at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 19 refers to the year timeline of 2001-2019.
 
 The next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100""","MODIS,MIR,Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/tfamodis01191k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/Overview_wg_0119_03_a1.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120002,2
NO,2001_2019_MODIS_EVI_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global MODIS data for Enhanced Vegetation Index (EVI) derived from the MOD13A2 Product from USGS. The imagery summarises a key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 MODIS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The MOD13A2 product contains an 16-day average of EVI at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: the Index values were extracted from MOD13A2 files for the years 2001 through to 2019, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The MO at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 19 refers to the year timeline of 2001-2019.
 
 The next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, Index Value * 10000
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100""","MODIS, EVI, Fourier Processed","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/tfamodis01191k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er1915a0.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120003,3
NO,2001_2019_MODIS_LandSurfaceDayTemperature_FourierProcessed_1k_ER,"This is a set of images produced by temporal Fourier analysis of global MODIS data 07 - DLST: Day-time Land Surface Temperature derived from the MOD11A2 Product from USGS. The imagery summarises some key environmental indicators, incorporating seasonal dynamics, for the MOOD study area.
 MODIS is a sensor on board two NASA satellites, providing near-daily coverage of the entire Earth. The MOD11A2 product contains an 8-day average of land surface temperature at 1-kilometre resolution. Reflectance values have been adjusted to remove the distortion caused by view angle and land surface texture. 

Abstract: Temperatures were extracted from MOD11A2 files for the years 2001 through to 2019, and then processed by a temporal Fourier processing algorithm. A stepwise system of thresholds and interpolations screened erroneous values and bridged gaps in the time series. The smoothed series was sampled at 5-day intervals and transformed into a set of sine curves describing annual, bi-annual, and tri-annual fluctuations. For each of these curves, the Fourier algorithm generated images expressing the amplitude, phase, and variance. Other output recorded the mean, minimum, and maximum of the time series, and error measured during the Fourier transform. For a detailed descripton of the Fourier algorithm and its output, please see the article by Scharlemann et al., 2008 (https://doi.org/10.1371/journal.pone.0001408)
 Sea pixels were masked with a MODIS land/sea layer and the images were projected from sinusoidal to geographic. The MOOD study region was subset from global images. Idrisi rasters were converted to geotiff format in order to give data users more flexibility
 
 File Names:
 The MO at the start of each file name indicates that the image covers the wider Europe and North Africa region included in the MOOD study area and is in geographic projection. 19 refers to the year timeline of 2001-2019.
 
 The next two characters identify the channel:
 03 - middle infra-red
 07 - daytime land surface temperature
 08 - nighttime land surface temperature
 14 - NDVI: Normalised Difference Vegetation Index
 15 - EVI: Enhanced Vegetation Index
 
 The last two characters of each file name denote the output from Fourier processing:
 a0 - mean
 mn - minimum
 mx - maximum
 a1 - amplitude of annual cycle
 a2 - amplitude of bi-annual cycle
 a3 - amplitude of tri-annual cycle
 p1 - phase of annual cycle
 p2 - phase of bi-annual cycle
 p3 - phase of tri-annual cycle
 d1 - variance in annual cycle
 d2 - variance in bi-annual cycle
 d3 - variance in tri-annual cycle
 da - combined variance in annual, bi-annual, and tri-annual cycles
 vr - variance in raw data
 
 Parameter Fourier Variable Image values are
 MIR (03) A0, A1, A2, A3, Min, Max, Vr Reflectance values * 10000
 LST (07 day,08 night) A0, A1, A2, A3, Min, Max, Vr (Degrees Centigrade+273)*50
 NDVI (14) and EVI (15) A0, A1, A2, A3, min Max Index Value * 10000
 
 NDVI (14) and EVI (15) VR Value * 10000
 ALL D1,D2,D3,Da Percentages
 ALL E1,E2,E3 Percentages
 ALL P1,P2.P3 Months*100. (Jan=100)","MODIS, Seasonal daytime Land Temperature, Fourier Processing","ERGO
","William Wint (william.wint@gmail.com)
",2022,Yes,https://tinyurl.com/tfamodis01191k,YES,,"CC-BY 4.0 Users are free to use, copy, distribute, transmit, and adapt the work for commercial and non-commercial purposes, without restriction, as long as clear attribution of the source is provided.",,https://gitlab.irstea.fr/umr-tetis/mood/geonetwork-insertion/-/raw/master/readme.img/ergo/er1907a0.png,,,,,Dataset,Covariate,,,,c4702d92-80b3-11ee-b962-0242ac120004,4
